"var","source","n_total","n_observed","pct_observed","n_positive","n_zero","keep_obs","keep_pos","keep_zero","keep_all","status","drop_reason"
"PSYLSSYS","ASDB",6166,3736,0.605903340901719,828,2908,TRUE,TRUE,TRUE,TRUE,"kept",""
"PSYOISYS","ASDB",6166,3736,0.605903340901719,707,3029,TRUE,TRUE,TRUE,TRUE,"kept",""
"PSYOPSYS","ASDB",6166,3736,0.605903340901719,934,2802,TRUE,TRUE,TRUE,TRUE,"kept",""
"PSYPHASYS","ASDB",6166,3736,0.605903340901719,583,3153,TRUE,TRUE,TRUE,TRUE,"kept",""
"PSYPHCSYS","ASDB",6166,3736,0.605903340901719,405,3331,TRUE,TRUE,TRUE,TRUE,"kept",""
"PSYSYS","ASDB",6166,3736,0.605903340901719,874,2862,TRUE,TRUE,TRUE,TRUE,"kept",""
"PSYTRASYS","ASDB",6166,3736,0.605903340901719,322,3414,TRUE,TRUE,TRUE,TRUE,"kept",""
"PSYTRPSYS","ASDB",6166,3736,0.605903340901719,215,3521,TRUE,TRUE,TRUE,TRUE,"kept",""
"PTLAB","ASDB",6166,6166,1,763,1747,TRUE,TRUE,TRUE,TRUE,"kept",""
"PTONSYS","ASDB",6166,3736,0.605903340901719,311,3425,TRUE,TRUE,TRUE,TRUE,"kept",""
"PTRAD","ASDB",6166,6166,1,493,1429,TRUE,TRUE,TRUE,TRUE,"kept",""
"RADFTE","ASDB",6166,2659,0.431235809276679,285,1584,TRUE,TRUE,TRUE,TRUE,"kept",""
"RADMCHI","ASDB",6166,3736,0.605903340901719,77,3659,TRUE,TRUE,TRUE,TRUE,"kept",""
"RASTSYS","ASDB",6166,3736,0.605903340901719,665,3071,TRUE,TRUE,TRUE,TRUE,"kept",""
"RBOTSYS","ASDB",6166,3736,0.605903340901719,420,3316,TRUE,TRUE,TRUE,TRUE,"kept",""
"REDSHOS","ASDB",6166,3736,0.605903340901719,1078,2658,TRUE,TRUE,TRUE,TRUE,"kept",""
"REHABSYS","ASDB",6166,3736,0.605903340901719,906,2830,TRUE,TRUE,TRUE,TRUE,"kept",""
"RETIRSYS","ASDB",6166,3736,0.605903340901719,227,3509,TRUE,TRUE,TRUE,TRUE,"kept",""
"RHBOPSYS","ASDB",6166,3736,0.605903340901719,765,2971,TRUE,TRUE,TRUE,TRUE,"kept",""
"ROBOSYS","ASDB",6166,3736,0.605903340901719,779,2957,TRUE,TRUE,TRUE,TRUE,"kept",""
"RPRSSYS","ASDB",6166,3736,0.605903340901719,625,3111,TRUE,TRUE,TRUE,TRUE,"kept",""
"RSIMSYS","ASDB",6166,3736,0.605903340901719,754,2982,TRUE,TRUE,TRUE,TRUE,"kept",""
"RURLSYS","ASDB",6166,3736,0.605903340901719,473,3263,TRUE,TRUE,TRUE,TRUE,"kept",""
"SCEDL","ASDB",6166,2836,0.459941615309763,1525,1311,TRUE,TRUE,TRUE,TRUE,"kept",""
"SCNED","ASDB",6166,3131,0.507784625364904,1766,260,TRUE,TRUE,TRUE,TRUE,"kept",""
"SCTRN","ASDB",6166,2836,0.459941615309763,2514,322,TRUE,TRUE,TRUE,TRUE,"kept",""
"SLEPSYS","ASDB",6166,3736,0.605903340901719,870,2866,TRUE,TRUE,TRUE,TRUE,"kept",""
"SMGRPSYS","ASDB",6166,475,0.0770353551735323,475,0,FALSE,TRUE,FALSE,FALSE,"dropped","low_obs;low_zero;"
"SNSYS","ASDB",6166,3736,0.605903340901719,602,3134,TRUE,TRUE,TRUE,TRUE,"kept",""
"SOCED","ASDB",6166,2907,0.471456373662018,1560,1347,TRUE,TRUE,TRUE,TRUE,"kept",""
"SOCNED","ASDB",6166,2907,0.471456373662018,1676,1231,TRUE,TRUE,TRUE,TRUE,"kept",""
